,Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2122,BTC,1/4/2020,10028.53261,10286.63482,10339.63884,9883.631832
2123,BTC,1/5/2020,9772.504761,9868.265028,9917.47758,9511.623987
2124,BTC,1/6/2020,9898.429352,9772.504819,10185.44037,9739.089085
2125,BTC,1/7/2020,9813.226351,9898.413446,9925.602563,9644.881829
2126,BTC,1/8/2020,9441.140037,9813.206638,10194.53397,9307.103532
2127,BTC,1/9/2020,9496.855261,9460.674242,9604.319275,9135.399352
2128,BTC,1/10/2020,9507.704273,9529.693443,9718.514278,9374.369428
2129,BTC,1/11/2020,9573.735372,9507.698028,9720.981661,9388.22372
2130,BTC,1/12/2020,10006.29447,9573.738464,10133.40473,9573.738439
2131,BTC,1/13/2020,10386.20061,10006.28929,10475.78174,9885.737728
2132,BTC,1/14/2020,10514.91147,10386.21297,10664.61879,10330.19692
2133,BTC,1/15/2020,10832.25986,10514.91475,10910.25592,10499.94443
2134,BTC,1/16/2020,10986.80754,10832.2503,11052.98579,10574.7773
2135,BTC,1/17/2020,11812.78705,10986.83088,11941.48387,10940.56908
2136,BTC,1/18/2020,11311.18722,11812.80356,12315.10766,11220.40378
2137,BTC,1/19/2020,11957.04722,11311.22164,12130.40974,11284.67611
2138,BTC,1/20/2020,11818.45548,11957.02281,12033.04653,11503.52799
2139,BTC,1/21/2020,11828.57457,11973.59295,12028.25991,11655.66325
2140,BTC,1/22/2020,11279.28125,11828.57457,11968.87796,11228.62221
2141,BTC,1/23/2020,11486.36578,11280.87554,11546.10453,11102.01485
2142,BTC,1/24/2020,11392.96865,11486.36408,11584.8907,11228.44066
2143,BTC,1/25/2020,10870.37911,11392.96383,11435.88853,10747.75595
2144,BTC,1/26/2020,10212.49858,10852.20047,10861.82397,10048.99513
2145,BTC,1/27/2020,10387.53955,10212.50951,10445.07996,9683.711422
2146,BTC,1/28/2020,10389.45059,10308.25976,10531.36531,9727.97815
2147,BTC,1/29/2020,10213.10144,10389.45804,10464.91871,9995.108246
2148,BTC,1/30/2020,10336.37284,10212.67093,10463.74951,10083.26549
2149,BTC,1/31/2020,10775.81031,10336.37448,10813.79708,10265.45646
2150,BTC,2/1/2020,10819.50701,10775.82421,10944.87041,10532.48856
2151,BTC,2/2/2020,10065.91679,10819.52263,10819.58913,9865.136684
2152,BTC,2/3/2020,10162.16475,10065.93106,10230.01701,9763.052413
2153,BTC,2/4/2020,10365.28135,10104.4429,10451.29234,10035.08645
2154,BTC,2/5/2020,10172.49746,10393.61634,10409.96385,9902.486012
2155,BTC,2/6/2020,10069.92242,10172.49019,10293.84102,9912.50882
2156,BTC,2/7/2020,10313.21504,10139.57086,10625.60517,10137.07172
2157,BTC,2/8/2020,10123.19653,10313.19686,10403.29749,10043.87929
2158,BTC,2/9/2020,9744.162051,10170.14274,10280.25422,9601.835039
2159,BTC,2/10/2020,9488.976434,9744.15873,9748.119828,9326.394154
2160,BTC,2/11/2020,9591.736337,9488.960049,9683.725536,9344.706051
2161,BTC,2/12/2020,9625.983911,9581.761352,9700.864379,9407.444484
2162,BTC,2/13/2020,9781.667897,9625.979967,9820.158622,9553.150794
2163,BTC,2/14/2020,10382.85596,9782.864338,10441.22046,9739.247573
2164,BTC,2/15/2020,10692.3113,10367.37382,10753.42149,10291.49442
2165,BTC,2/16/2020,10556.0469,10692.31852,10811.01817,10186.25791
2166,BTC,2/17/2020,10577.31789,10556.0624,10644.94607,10464.81329
2167,BTC,2/18/2020,10335.02389,10577.32519,10929.34381,10202.60832
2168,BTC,2/19/2020,10496.22736,10334.99906,10564.71089,10289.75316
2169,BTC,2/20/2020,10403.79653,10486.40972,10596.19556,10245.58258
2170,BTC,2/21/2020,10333.94219,10403.76795,10525.38695,10098.98038
2171,BTC,2/22/2020,10083.94683,10333.93727,10381.30659,9957.122723
2172,BTC,2/23/2020,10153.75298,10108.49504,10270.03039,9892.803301
2173,BTC,2/24/2020,10397.7672,10153.76062,10460.92661,10056.26449
2174,BTC,2/25/2020,10300.47696,10397.76226,10448.38863,10168.99105
2175,BTC,2/26/2020,10352.23202,10300.49457,10426.91182,10230.45418
2176,BTC,2/27/2020,10303.19071,10362.08564,10382.56459,10268.86546
2177,BTC,2/28/2020,10302.65965,10307.1484,10374.06351,10094.14028
2178,BTC,2/29/2020,10232.42151,10302.66126,10305.62364,10146.34576
2179,BTC,3/1/2020,10169.28771,10232.41302,10264.82338,10095.32501
2180,BTC,3/2/2020,10224.50558,10167.77877,10287.01075,9688.29416
2181,BTC,3/3/2020,10139.33521,10224.50709,10290.21566,10066.62894
2182,BTC,3/4/2020,9985.520516,10139.35756,10180.74247,9909.572815
2183,BTC,3/5/2020,10032.86671,9985.518857,10084.09813,9851.753085
2184,BTC,3/6/2020,9720.718696,10032.86687,10063.91987,9631.695768
2185,BTC,3/7/2020,8689.973526,9720.704257,9771.161484,7945.334498
2186,BTC,3/8/2020,8439.708552,8529.464788,8742.509561,8231.466526
2187,BTC,3/9/2020,8104.2109,8439.716459,8463.412486,7758.276118
2188,BTC,3/10/2020,8196.210697,8104.901572,8287.743263,7870.55317
2189,BTC,3/11/2020,8147.414032,8184.316058,8322.160587,7724.691419
